Estado - Sigla,Municipio,Cep,Produto,Valor de Venda,Bandeira,data,Latitude,Longitude
CE,FORTALEZA,60765-005,GASOLINA,3.89,RAIZEN,2016-01-05,-3.8357564,-38.5852067
CE,FORTALEZA,60720-001,GASOLINA,3.89,IPIRANGA,2016-01-06,-3.813689,-38.6136964
CE,FORTALEZA,60040-530,GASOLINA,3.89,RAIZEN,2016-01-05,-3.7543326,-38.526521
CE,FORTALEZA,60140-060,GASOLINA,3.82,SP,2016-01-05,-3.7353108,-38.5213508
CE,FORTALEZA,60035-170,GASOLINA,3.87,SP,2016-01-05,-3.754907,-38.5234478
CE,FORTALEZA,60730-000,GASOLINA,3.87,ALESAT,2016-01-05,-3.7901847,-38.5806181
CE,FORTALEZA,60115-222,GASOLINA,3.87,PETROBRAS DISTRIBUIDORA S.A.,2016-01-05,-3.7484633,-38.5158556
CE,FORTALEZA,60130-241,GASOLINA,3.88,PETROBRAS DISTRIBUIDORA S.A.,2016-01-05,-3.7520162,-38.5122432
CE,FORTALEZA,60542-122,GASOLINA,3.87,RAIZEN,2016-01-05,-3.7878855,-38.5886147
CE,FORTALEZA,60015-290,GASOLINA,3.83,RAIZEN,2016-01-06,-3.7367999,-38.5397209
CE,FORTALEZA,60140-160,GASOLINA,3.89,RAIZEN,2016-01-05,-3.7342617,-38.5021031
CE,FORTALEZA,60040-531,GASOLINA,3.87,PETROBRAS DISTRIBUIDORA S.A.,2016-01-05,-3.7444018,-38.5371334
CE,FORTALEZA,60842-395,GASOLINA,3.89,ALESAT,2016-01-05,-3.7578964,-38.5221693
CE,FORTALEZA,60115-281,GASOLINA,3.87,BRANCA,2016-01-05,-3.7373127,-38.5112114
CE,FORTALEZA,60050-130,GASOLINA,3.879,RAIZEN,2016-01-05,-3.74288,-38.5313906
CE,FORTALEZA,60010-450,GASOLINA,3.83,SP,2016-01-06,-3.7211646,-38.5488707
CE,FORTALEZA,60120-002,GASOLINA,3.83,RAIZEN,2016-01-05,-3.7488491,-38.5140982
CE,FORTALEZA,60055-172,GASOLINA,3.879,RAIZEN,2016-01-05,-3.7532591,-38.5227125
CE,FORTALEZA,60055-210,GASOLINA,3.87,BRANCA,2016-01-05,-3.7466508,-38.525751
CE,FORTALEZA,60120-001,GASOLINA,3.86,BRANCA,2016-01-05,-3.738729,-38.5106509
CE,FORTALEZA,60060-650,GASOLINA,3.879,IPIRANGA,2016-01-05,-3.7237548,-38.5223407
CE,FORTALEZA,60020-292,GASOLINA,3.86,PETROBRAS DISTRIBUIDORA S.A.,2016-01-06,-3.7603429,-38.5667616
CE,FORTALEZA,60015-290,GASOLINA,3.87,RAIZEN,2016-01-06,-3.7399951,-38.5432702
CE,FORTALEZA,60710-000,GASOLINA,3.86,BRANCA,2016-01-06,-3.7940472,-38.5714129
CE,FORTALEZA,60140-100,GASOLINA,3.89,PETROBRAS DISTRIBUIDORA S.A.,2016-01-05,-3.7329635,-38.5248772
CE,FORTALEZA,60040-531,GASOLINA,3.89,RAIZEN,2016-01-05,-3.7472631,-38.5340786
CE,FORTALEZA,60150-160,GASOLINA,3.86,PETROBRAS DISTRIBUIDORA S.A.,2016-01-05,-3.7895695,-38.5585407
CE,FORTALEZA,60150-163,GASOLINA,3.86,BRANCA,2016-01-05,-3.7405653,-38.4869519
CE,FORTALEZA,60120-002,GASOLINA,3.88,RAIZEN,2016-01-05,-3.7437091,-38.5117301
CE,FORTALEZA,60040-531,GASOLINA,3.88,SP,2016-01-05,-3.7431527,-38.5392934
CE,FORTALEZA,60191-070,GASOLINA,3.86,BRANCA,2016-01-06,-3.7209416,-38.5301106
CE,FORTALEZA,60000-000,GASOLINA,3.83,RAIZEN,2016-01-06,-3.733487,-38.5083844
CE,FORTALEZA,60000-000,GASOLINA,3.87,RAIZEN,2016-01-06,-3.730808,-38.5123253
CE,FORTALEZA,60135-460,GASOLINA,3.83,RAIZEN,2016-01-05,-3.7510284,-38.4933794
CE,FORTALEZA,60060-430,GASOLINA,3.87,PETROBRAS DISTRIBUIDORA S.A.,2016-01-05,-3.7210178,-38.5252755
CE,FORTALEZA,60165-080,GASOLINA,3.83,PETROBRAS DISTRIBUIDORA S.A.,2016-01-05,-3.7260573,-38.4917583
CE,FORTALEZA,60130-240,GASOLINA,3.87,RAIZEN,2016-01-05,-3.7515237,-38.5044206
CE,FORTALEZA,60010-700,GASOLINA,3.83,BRANCA,2016-01-05,-3.7237617,-38.5436169
CE,FORTALEZA,60130-530,GASOLINA,3.83,IPIRANGA,2016-01-05,-3.7646502,-38.5126749
CE,FORTALEZA,60150-162,GASOLINA,3.87,PETROBRAS DISTRIBUIDORA S.A.,2016-01-05,-3.7414032,-38.4857304
CE,FORTALEZA,60135-102,GASOLINA,3.83,PETROBRAS DISTRIBUIDORA S.A.,2016-01-05,-3.7428682,-38.5144805
CE,FORTALEZA,60140-061,GASOLINA,3.87,PETROBRAS DISTRIBUIDORA S.A.,2016-01-05,-3.7354141,-38.5224528
CE,FORTALEZA,60135-102,GASOLINA,3.82,IPIRANGA,2016-01-05,-3.7470755,-38.5009944
CE,FORTALEZA,60160-090,GASOLINA,3.87,IPIRANGA,2016-01-05,-3.7268021,-38.5003246
CE,FORTALEZA,60010-000,GASOLINA,3.89,PETROBRAS DISTRIBUIDORA S.A.,2016-01-06,-3.7112763,-38.5602484
CE,FORTALEZA,60135-650,GASOLINA,3.86,PETROBRAS DISTRIBUIDORA S.A.,2016-01-05,-3.7427429,-38.4957334
CE,FORTALEZA,60410-424,GASOLINA,3.88,BRANCA,2016-01-06,-3.7548974,-38.5429612
CE,FORTALEZA,60115-081,GASOLINA,3.86,RAIZEN,2016-01-05,-3.7369999,-38.5156333
CE,FORTALEZA,60135-100,GASOLINA,3.82,SP,2016-01-05,-3.7421118,-38.5161669
CE,FORTALEZA,60035-110,GASOLINA,3.87,BRANCA,2016-01-05,-3.7308585,-38.5356931
CE,FORTALEZA,60115-281,GASOLINA,3.869,RAIZEN,2016-01-05,-3.7373127,-38.5112114
CE,FORTALEZA,60115-171,GASOLINA,3.86,SP,2016-01-05,-3.7404131,-38.5159172
CE,FORTALEZA,60025-062,GASOLINA,3.87,ALESAT,2016-01-06,-3.7399214,-38.5348993
CE,FORTALEZA,60120-002,GASOLINA,3.83,ALESAT,2016-01-05,-3.7524771,-38.5152924
CE,FORTALEZA,60030-051,GASOLINA,3.86,PETROBRAS DISTRIBUIDORA S.A.,2016-01-06,-3.7223916,-38.5389207
CE,FORTALEZA,60052-071,GASOLINA,3.87,BRANCA,2016-01-05,-3.7446725,-38.5330276
CE,FORTALEZA,60055-402,GASOLINA,3.83,RAIZEN,2016-01-05,-3.7402449,-38.527738
CE,FORTALEZA,60010-470,GASOLINA,3.88,PETROBRAS DISTRIBUIDORA S.A.,2016-01-06,-3.7248196,-38.5482392
CE,FORTALEZA,60040-531,GASOLINA,3.889,RAIZEN,2016-01-05,-3.7502145,-38.5305973
CE,FORTALEZA,60175-395,GASOLINA,3.83,PETROBRAS DISTRIBUIDORA S.A.,2016-01-05,-3.7361658,-38.4737318
CE,FORTALEZA,60120-420,GASOLINA,3.83,BRANCA,2016-01-05,-3.7619198,-38.5109062
CE,FORTALEZA,60025-001,GASOLINA,3.87,PETROBRAS DISTRIBUIDORA S.A.,2016-01-06,-3.7357241,-38.5350654
CE,FORTALEZA,60120-001,GASOLINA,3.87,IPIRANGA,2016-01-05,-3.733826,-38.5091263
CE,FORTALEZA,60150-161,GASOLINA,3.87,IPIRANGA,2016-01-05,-3.7352653,-38.5053515
CE,FORTALEZA,60150-162,GASOLINA,3.87,IPIRANGA,2016-01-05,-3.7396454,-38.4914847
CE,FORTALEZA,60060-150,GASOLINA,3.89,PETROBRAS DISTRIBUIDORA S.A.,2016-01-05,-3.7197033,-38.5180667
CE,FORTALEZA,60140-061,GASOLINA,3.83,PETROBRAS DISTRIBUIDORA S.A.,2016-01-05,-3.7347781,-38.5230419
CE,FORTALEZA,60140-160,GASOLINA,3.87,IPIRANGA,2016-01-05,-3.7468727,-38.4829801
CE,FORTALEZA,60000-000,GASOLINA,3.839,RAIZEN,2016-01-06,-3.7180994,-38.5409724
CE,FORTALEZA,60130-371,GASOLINA,3.86,SP,2016-01-05,-3.7555203,-38.5116897
CE,FORTALEZA,60055-172,GASOLINA,3.899,IPIRANGA,2016-01-05,-3.7550862,-38.5228559
CE,FORTALEZA,60055-402,GASOLINA,3.83,BRANCA,2016-01-05,-3.7560195,-38.5250531
CE,FORTALEZA,60130-241,GASOLINA,3.82,PETROBRAS DISTRIBUIDORA S.A.,2016-01-05,-3.7520271,-38.5084691
CE,FORTALEZA,60765-005,GASOLINA,3.89,RAIZEN,2016-01-12,-3.8357564,-38.5852067
CE,FORTALEZA,60356-000,GASOLINA,3.89,PETROBRAS DISTRIBUIDORA S.A.,2016-01-12,-3.736703,-38.5758615
CE,FORTALEZA,60020-292,GASOLINA,3.88,PETROBRAS DISTRIBUIDORA S.A.,2016-01-12,-3.7526366,-38.5559312
CE,FORTALEZA,60410-410,GASOLINA,3.87,RAIZEN,2016-01-12,-3.7639739,-38.5605639
CE,FORTALEZA,60341-630,GASOLINA,3.89,BRANCA,2016-01-12,-3.7102945,-38.5925156
CE,FORTALEZA,60455-410,GASOLINA,3.873,ALESAT,2016-01-12,-3.7398224,-38.5660028
CE,FORTALEZA,60190-800,GASOLINA,3.87,SP,2016-01-12,-3.7382716,-38.5130177
CE,FORTALEZA,60442-801,GASOLINA,3.87,BRANCA,2016-01-12,-3.7574294,-38.5625473
CE,FORTALEZA,60325-000,GASOLINA,3.87,SP,2016-01-12,-3.7308074,-38.544732
CE,FORTALEZA,60335-480,GASOLINA,3.89,IPIRANGA,2016-01-12,-3.7190493,-38.5692789
CE,FORTALEZA,60542-122,GASOLINA,3.87,RAIZEN,2016-01-12,-3.7878855,-38.5886147
CE,FORTALEZA,60326-500,GASOLINA,3.87,BRANCA,2016-01-12,-3.7251241,-38.5561538
CE,FORTALEZA,60510-290,GASOLINA,3.89,BRANCA,2016-01-12,-3.7601215,-38.5883379
CE,FORTALEZA,60325-004,GASOLINA,3.89,PETROBRAS DISTRIBUIDORA S.A.,2016-01-12,-3.7361782,-38.5678858
CE,FORTALEZA,60410-001,GASOLINA,3.899,IPIRANGA,2016-01-11,-3.7620997,-38.5487536
CE,FORTALEZA,60356-000,GASOLINA,3.899,RAIZEN,2016-01-12,-3.737538,-38.5827124
CE,FORTALEZA,60310-000,GASOLINA,3.87,RAIZEN,2016-01-12,-3.71181,-38.5755938
CE,FORTALEZA,60341-641,GASOLINA,3.89,PETROBRAS DISTRIBUIDORA S.A.,2016-01-12,-3.7162261,-38.5906208
CE,FORTALEZA,60175-047,GASOLINA,3.89,SP,2016-01-12,-3.7977357,-38.5540127
CE,FORTALEZA,60170-251,GASOLINA,3.87,RAIZEN,2016-01-12,-3.7366337,-38.4954103
CE,FORTALEZA,60420-775,GASOLINA,3.879,RAIZEN,2016-01-12,-3.7681726,-38.5548797
CE,FORTALEZA,60312-060,GASOLINA,3.86,PETROBRAS DISTRIBUIDORA S.A.,2016-01-12,-3.7193005,-38.5352071
CE,FORTALEZA,60410-000,GASOLINA,3.89,ALESAT,2016-01-11,-3.7616019,-38.5473976
CE,FORTALEZA,60175-690,GASOLINA,3.899,CBPI,2016-01-12,-3.7377135,-38.4858423
CE,FORTALEZA,60761-191,GASOLINA,3.89,RAIZEN,2016-01-12,-3.8208145,-38.5602146
CE,FORTALEZA,60175-395,GASOLINA,3.89,RAIZEN,2016-01-12,-3.7334773,-38.4827057
CE,FORTALEZA,60320-000,GASOLINA,3.87,PETROBRAS DISTRIBUIDORA S.A.,2016-01-12,-3.7218627,-38.5696244
CE,FORTALEZA,60170-000,GASOLINA,3.87,PETROBRAS DISTRIBUIDORA S.A.,2016-01-12,-3.7405549,-38.5020968
CE,FORTALEZA,60176-130,GASOLINA,3.899,RAIZEN,2016-01-12,-3.7453391,-38.4719317
CE,FORTALEZA,60425-000,GASOLINA,3.89,PETROBRAS DISTRIBUIDORA S.A.,2016-01-12,-3.75597,-38.5445627
CE,FORTALEZA,60165-080,GASOLINA,3.89,PETROBRAS DISTRIBUIDORA S.A.,2016-01-12,-3.7260573,-38.4917583
CE,FORTALEZA,60182-000,GASOLINA,3.89,SP,2016-01-12,-3.7260749,-38.4720313
CE,FORTALEZA,60411-260,GASOLINA,3.89,PETROBRAS DISTRIBUIDORA S.A.,2016-01-12,-3.7575135,-38.5347351
CE,FORTALEZA,60191-070,GASOLINA,3.89,RAIZEN,2016-01-12,-3.724949,-38.5567759
CE,FORTALEZA,60416-220,GASOLINA,3.86,RAIZEN,2016-01-12,-3.7470274,-38.558191
CE,FORTALEZA,60310-000,GASOLINA,3.89,ALE COMBUSTÃVEIS,2016-01-12,-3.7199347,-38.5533253
CE,FORTALEZA,60180-410,GASOLINA,3.87,PETROBRAS DISTRIBUIDORA S.A.,2016-01-12,-3.7151293,-38.4764526
CE,FORTALEZA,60170-251,GASOLINA,3.899,PETROBRAS DISTRIBUIDORA S.A.,2016-01-12,-3.7350422,-38.4954924
CE,FORTALEZA,60355-570,GASOLINA,3.89,IPIRANGA,2016-01-12,-3.7339853,-38.5866875
CE,FORTALEZA,60356-001,GASOLINA,3.89,RAIZEN,2016-01-12,-3.7386775,-38.5896241
CE,FORTALEZA,60160-090,GASOLINA,3.89,IPIRANGA,2016-01-12,-3.7268021,-38.5003246
CE,FORTALEZA,60191-070,GASOLINA,3.87,PETROBRAS DISTRIBUIDORA S.A.,2016-01-12,-3.8116543,-38.5268492
CE,FORTALEZA,60360-000,GASOLINA,3.86,RAIZEN,2016-01-12,-3.799176,-38.5256349
CE,FORTALEZA,60455-220,GASOLINA,3.87,PETROBRAS DISTRIBUIDORA S.A.,2016-01-12,-3.744765,-38.5477011
CE,FORTALEZA,60350-550,GASOLINA,3.879,PETROBRAS DISTRIBUIDORA S.A.,2016-01-12,-3.7265977,-38.5652844
CE,FORTALEZA,60425-682,GASOLINA,3.89,SP,2016-01-12,-3.7720592,-38.5645774
CE,FORTALEZA,60165-082,GASOLINA,3.87,PETROBRAS DISTRIBUIDORA S.A.,2016-01-12,-3.7259559,-38.4895749
CE,FORTALEZA,60180-000,GASOLINA,3.89,SP,2016-01-12,-3.7325111,-38.4794107
CE,FORTALEZA,60325-000,GASOLINA,3.89,RAIZEN,2016-01-12,-3.73135,-38.5449441
CE,FORTALEZA,60420-040,GASOLINA,3.899,PETROBRAS DISTRIBUIDORA S.A.,2016-01-12,-3.7692452,-38.557199
