,Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira
1323,NE,CE,ICO,COMERCIAL DE PETROLEO PARAIBANO LTDA, 05.483.270/0001-14,AVENIDA MONSENHOR FROTA,673,,NOVO CENTRO,63430-000,GASOLINA,02/01/2024,"5,86",,R$ / litro,BRANCA
1324,NE,CE,ICO,COMERCIAL DE PETROLEO PARAIBANO LTDA, 05.483.270/0001-14,AVENIDA MONSENHOR FROTA,673,,NOVO CENTRO,63430-000,GASOLINA ADITIVADA,02/01/2024,"5,86",,R$ / litro,BRANCA
1325,NE,CE,ICO,COMERCIAL DE PETROLEO PARAIBANO LTDA, 05.483.270/0001-14,AVENIDA MONSENHOR FROTA,673,,NOVO CENTRO,63430-000,DIESEL,02/01/2024,"5,96",,R$ / litro,BRANCA
1326,NE,CE,ICO,COMERCIAL DE PETROLEO PARAIBANO LTDA, 05.483.270/0001-14,AVENIDA MONSENHOR FROTA,673,,NOVO CENTRO,63430-000,DIESEL S10,02/01/2024,"5,96",,R$ / litro,BRANCA
1327,NE,CE,ICO,COMERCIAL DE PETROLEO PARAIBANO LTDA, 05.483.270/0001-14,AVENIDA MONSENHOR FROTA,673,,NOVO CENTRO,63430-000,ETANOL,02/01/2024,"4,56",,R$ / litro,BRANCA
1328,NE,CE,ICO,AUTO POSTO PEDRO BARRETO LTDA, 07.495.518/0001-92,AVENIDA NOGUEIRA ACIOLY,1020,TERREO,CENTRO,63430-000,GASOLINA,02/01/2024,"5,99",,R$ / litro,BRANCA
1329,NE,CE,ICO,AUTO POSTO PEDRO BARRETO LTDA, 07.495.518/0001-92,AVENIDA NOGUEIRA ACIOLY,1020,TERREO,CENTRO,63430-000,GASOLINA ADITIVADA,02/01/2024,"6,05",,R$ / litro,BRANCA
1330,NE,CE,ICO,AUTO POSTO PEDRO BARRETO LTDA, 07.495.518/0001-92,AVENIDA NOGUEIRA ACIOLY,1020,TERREO,CENTRO,63430-000,DIESEL,02/01/2024,"6,49",,R$ / litro,BRANCA
1331,NE,CE,ICO,AUTO POSTO PEDRO BARRETO LTDA, 07.495.518/0001-92,AVENIDA NOGUEIRA ACIOLY,1020,TERREO,CENTRO,63430-000,DIESEL S10,02/01/2024,"6,49",,R$ / litro,BRANCA
1332,NE,CE,ICO,AUTO POSTO PEDRO BARRETO LTDA, 07.495.518/0001-92,AVENIDA NOGUEIRA ACIOLY,1020,TERREO,CENTRO,63430-000,ETANOL,02/01/2024,"4,85",,R$ / litro,BRANCA
1333,NE,CE,ICO,POSTO DE COMBUSTIVEIS SENHORA SANTANA I- EIRELI, 04.931.921/0001-29,AVENIDA JOSEFA NOGUEIRA MONTEIRO,1681,TERREO,CENTRO,63430-000,GASOLINA,02/01/2024,"5,99",,R$ / litro,BRANCA
1334,NE,CE,ICO,POSTO DE COMBUSTIVEIS SENHORA SANTANA I- EIRELI, 04.931.921/0001-29,AVENIDA JOSEFA NOGUEIRA MONTEIRO,1681,TERREO,CENTRO,63430-000,DIESEL,02/01/2024,"6,59",,R$ / litro,BRANCA
1335,NE,CE,ICO,POSTO DE COMBUSTIVEIS SENHORA SANTANA I- EIRELI, 04.931.921/0001-29,AVENIDA JOSEFA NOGUEIRA MONTEIRO,1681,TERREO,CENTRO,63430-000,DIESEL S10,02/01/2024,"6,59",,R$ / litro,BRANCA
1336,NE,CE,FORTALEZA,DIAS COMERCIO DE DERIVADOS DE PETROLEO LTDA, 08.509.458/0001-82,RODOVIA DOUTOR MENDEL STEINBRUCH,6750,,ARACAPE,60765-005,GNV,02/01/2024,"4,99",,R$ / m³,RAIZEN
1337,NE,CE,FORTALEZA,DIAS COMERCIO DE DERIVADOS DE PETROLEO LTDA, 08.509.458/0001-82,RODOVIA DOUTOR MENDEL STEINBRUCH,6750,,ARACAPE,60765-005,GASOLINA,02/01/2024,"5,99",,R$ / litro,RAIZEN
1338,NE,CE,FORTALEZA,DIAS COMERCIO DE DERIVADOS DE PETROLEO LTDA, 08.509.458/0001-82,RODOVIA DOUTOR MENDEL STEINBRUCH,6750,,ARACAPE,60765-005,GASOLINA ADITIVADA,02/01/2024,"6,17",,R$ / litro,RAIZEN
1339,NE,CE,FORTALEZA,DIAS COMERCIO DE DERIVADOS DE PETROLEO LTDA, 08.509.458/0001-82,RODOVIA DOUTOR MENDEL STEINBRUCH,6750,,ARACAPE,60765-005,DIESEL S10,02/01/2024,"5,87",,R$ / litro,RAIZEN
1340,NE,CE,FORTALEZA,DIAS COMERCIO DE DERIVADOS DE PETROLEO LTDA, 08.509.458/0001-82,RODOVIA DOUTOR MENDEL STEINBRUCH,6750,,ARACAPE,60765-005,ETANOL,02/01/2024,"4,09",,R$ / litro,RAIZEN
3819,NE,CE,FORTALEZA,JOCKEY COMERCIO DE COMBUSTIVEIS LTDA, 09.324.577/0001-23,AVENIDA LINEU MACHADO,560,,PICI,60520-100,GASOLINA,02/01/2024,"5,94",,R$ / litro,IPIRANGA
3820,NE,CE,FORTALEZA,JOCKEY COMERCIO DE COMBUSTIVEIS LTDA, 09.324.577/0001-23,AVENIDA LINEU MACHADO,560,,PICI,60520-100,GASOLINA ADITIVADA,02/01/2024,"6,24",,R$ / litro,IPIRANGA
3821,NE,CE,FORTALEZA,JOCKEY COMERCIO DE COMBUSTIVEIS LTDA, 09.324.577/0001-23,AVENIDA LINEU MACHADO,560,,PICI,60520-100,DIESEL S10,02/01/2024,"5,89",,R$ / litro,IPIRANGA
3822,NE,CE,FORTALEZA,JOCKEY COMERCIO DE COMBUSTIVEIS LTDA, 09.324.577/0001-23,AVENIDA LINEU MACHADO,560,,PICI,60520-100,ETANOL,02/01/2024,"3,99",,R$ / litro,IPIRANGA
3823,NE,CE,FORTALEZA,NT COMERCIAL DE PETRÓLEO LTDA., 08.960.096/0001-41,AVENIDA HUMBERTO MONTE,2550,,BELA VISTA,60450-000,GASOLINA,02/01/2024,"5,99",,R$ / litro,BRANCA
3824,NE,CE,FORTALEZA,NT COMERCIAL DE PETRÓLEO LTDA., 08.960.096/0001-41,AVENIDA HUMBERTO MONTE,2550,,BELA VISTA,60450-000,GASOLINA ADITIVADA,02/01/2024,"6,39",,R$ / litro,BRANCA
3825,NE,CE,FORTALEZA,NT COMERCIAL DE PETRÓLEO LTDA., 08.960.096/0001-41,AVENIDA HUMBERTO MONTE,2550,,BELA VISTA,60450-000,DIESEL S10,02/01/2024,"6,49",,R$ / litro,BRANCA
